T,"Route Desc","Part Number",Procurement,"Serial Number","Customer Ref",Ordered,"To Ship","Customer PN","Unit Price",Exchange,Cost,"SO Number",Company,Code,Site,Date,Ship,Category,CD,"SO Open","Currency Value","Total Price","Total Cur Price"
S,"Part Sale",JP94779-1,BUY,,,1,0,JP94779-1,595,1,58.27,8658,"Prompt Aero Services, Inc.",PASI1,_,9/1/2009,9/4/2009,_,NE,,595,595,595
J,"Invoice Adjustment",SHIPPING,BUY,,,1,0,SHIPPING,17.56,1,0,8379,"PHS/ MWA Aviation Services",PMAS1,_,9/1/2009,9/1/2009,_,NE,,17.56,17.56,17.56
S,"Part Sale",3165433JP-1,BUY,,,2,0,3165433JP-1,58,1,25.25,8661,"Triumph Accessory Services",TAS2,_,9/1/2009,9/2/2009,_,NE,,58,116,116
S,"Part Sale",88373A,BUY,,,1,0,88373A,621,1,399,8662,"Skywest Airlines",SKYW,_,9/1/2009,9/17/2009,_,NE,,621,621,621
S,"Part Sale",348024JP,BUY,,,10,0,348024JP,44,1,0.46,8663,"Future Aviation Inc.",FAI,_,9/1/2009,9/2/2009,_,NE,,44,440,440
S,"Part Sale",405243JP,BUY,,,10,0,405243JP,77,1,19.95,8663,"Future Aviation Inc.",FAI,_,9/1/2009,9/2/2009,_,NE,,77,770,770
S,"Part Sale",3170331JP-16,BUY,,,1,0,3170331JP-16,3531,1,129.32,8649,"Aero Technologies, LLC",ATL1,_,9/1/2009,9/2/2009,_,NE,,3531,3531,3531
S,"Part Sale",88373A,BUY,,,1,0,88373A,550,1,399,8650,"Pinnacle Airlines",PINA,_,9/1/2009,9/2/2009,_,NE,,550,550,550
S,"Part Sale",88373A,BUY,,,1,0,88373A,550,1,399,8651,"Pinnacle Airlines",PINA,_,9/1/2009,9/2/2009,_,NE,,550,550,550
S,"Part Sale",3183387JP-1,BUY,,,1,0,3183387JP-1,725,1,80.61,8652,"Pneutech Aerospace",PNTA,_,9/1/2009,9/2/2009,_,NE,,725,725,725
S,"Part Sale",297033JP,BUY,,,2,0,297033JP,119,1,33.78,8653,"Niacc-Avitech Technologies",NT1,_,9/1/2009,9/2/2009,_,NE,,119,238,238
S,"Part Sale",405243JP,BUY,,,12,0,405243JP,77,1,19.95,8653,"Niacc-Avitech Technologies",NT1,_,9/1/2009,9/2/2009,_,NE,,77,924,924
S,"Part Sale",570717JP,BUY,,,1,0,570717JP,607.5,1,144.02,8653,"Niacc-Avitech Technologies",NT1,_,9/1/2009,9/2/2009,_,NE,,607.5,607.5,607.5
S,"Part Sale",570729JP,BUY,,,4,0,570729JP,472.5,1,163,8653,"Niacc-Avitech Technologies",NT1,_,9/1/2009,9/2/2009,_,NE,,472.5,1890,1890
S,"Part Sale",3507463JP-1,BUY,,,2,0,3507463JP-1,8750,1,1750,8654,"Delta Air Lines, Inc.",DALI1,_,9/1/2009,9/2/2009,_,NE,,8750,17500,17500
S,"Part Sale",P00022,BUY,,,6,0,P00022,133,1,85.5,8655,"Delta Air Lines, Inc.",DALI1,_,9/1/2009,9/2/2009,_,NE,,133,798,798
S,"Part Sale",P00789,BUY,,,9,0,P00789,23.8,1,17.43,8656,"Delta Air Lines, Inc.",DALI1,_,9/1/2009,9/2/2009,_,NE,,23.8,214.2,214.2
S,"Part Sale",1700199JP,BUY,,,10,0,1700199JP,2250,1,658.13,8657,"Future Aviation Inc.",FAI,_,9/1/2009,9/2/2009,_,NE,,2250,22500,22500
S,"Part Sale",S5574-1,BUY,,,25,0,S5574-1,30,1,20.5,8660,Comair,COMAIR,_,9/1/2009,9/1/2009,_,NE,,30,750,750
S,"Part Sale",3163268JP-11,BUY,,,1,0,3163268JP-11,179,1,54,8664,"APS Air Parts ",AAP1,_,9/2/2009,9/2/2009,_,NE,,179,179,179
S,"Part Sale",601R10179JP-1,BUY,,,11,0,601R10179JP-1,29,1,21,8665,"Pinnacle Airlines",PINA,_,9/2/2009,9/3/2009,_,NE,,29,319,319
S,"Part Sale",3175956JP-3,BUY,,,3,0,3175956JP-3,1749,1,241.68,8666,"Aero Inventory",AI1,_,9/2/2009,9/24/2009,_,NE,,1749,5247,5247
S,"Part Sale",601R21145JP-1,BUY,,,3,0,601R21145JP-1,120,1,52.4,8667,"Skywest Airlines",SKYW,_,9/2/2009,9/4/2009,_,NE,,120,360,360
